project,role,name,source_path
株式会社青潮モビリティサービス,プロジェクトマネージャー,伊藤 翔太,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青潮モビリティサービス,リードデータサイエンティスト,鈴木 美咲,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青潮モビリティサービス,データエンジニア,木村 拓海,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青潮モビリティサービス,ビジネスアナリスト,藤田 彩,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青潮モビリティサービス,QAレビューア,池田 直哉,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,エグゼクティブスポンサー,中村 誠,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,プロジェクトマネージャー,加藤 大輔,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,リードデータサイエンティスト,渡辺 遥,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,データエンジニア,斎藤 悠斗,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,ビジネスアナリスト,井上 里奈,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,QAレビューア,清水 麻衣,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,エグゼクティブスポンサー,中村 誠,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
株式会社青葉バイオメディカル機器,プロジェクトマネージャー,加藤 大輔,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
株式会社青葉バイオメディカル機器,リードデータサイエンティスト,渡辺 遥,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
株式会社青葉バイオメディカル機器,データエンジニア,斎藤 悠斗,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
株式会社青葉バイオメディカル機器,ビジネスアナリスト,井上 里奈,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
株式会社青葉バイオメディカル機器,QAレビューア,清水 麻衣,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md
白峰信用リスク評価株式会社,エグゼクティブスポンサー,中村 誠,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
白峰信用リスク評価株式会社,プロジェクトマネージャー,伊藤 翔太,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
白峰信用リスク評価株式会社,リードデータサイエンティスト,山本 彩乃,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
白峰信用リスク評価株式会社,データエンジニア,斎藤 悠斗,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
白峰信用リスク評価株式会社,ビジネスアナリスト,松本 真央,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
白峰信用リスク評価株式会社,QAレビューア,池田 恒一,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
青葉与信マネジメント株式会社,プロジェクトマネージャー,伊藤 翔太,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.md
